date,B_fighter,R_fighter,Winner,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,R_draw,B_draw,B_Stance_Open_Stance,B_Stance_Orthodox,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_Stance_Southpaw,B_Stance_Switch,B_Stance_Switch ,R_Stance_Open_Stance
2019-04-13,Zelim Imadaev,Max Griffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,170,24,0,0,0,1,2,0,1,4,16,0,0,0,1,1,0,0,2,180.34,193.04,170,33,0,0,0,0
2020-12-19,Antonio Arroyo,Deron Winn,0,2,0,2,2,0,0,0,0,0,0,0,0,2,190.5,185.42,185,31,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,2,167.64,177.8,185,31,0,0,0,0
2016-05-08,Andrei Arlovski,Alistair Overeem,0,1,0,7,5,35,5,0,1,2,9,2,0,14,190.5,195.58,240,37,0,0,0,1,0,3,3,3,15,0,0,0,2,3,0,0,5,193.04,203.2,265,35,0,0,0,0
2019-08-03,Gerald Meerschaert,Trevin Giles,1,2,0,2,3,12,0,0,0,0,1,3,0,4,185.42,195.58,185,31,0,0,0,0,1,0,2,1,8,0,0,0,0,2,0,0,2,182.88,187.96,185,27,1,0,0,0
2016-11-19,Ali Bagautinov,Kyoji Horiguchi,0,0,1,3,2,20,1,0,0,3,1,0,0,4,162.56,165.1,125,31,0,0,0,1,0,2,4,1,20,1,0,0,4,2,0,0,6,165.1,167.64,125,26,0,0,0,0
2015-05-09,Bradley Scott,Dylan Andrews,1,1,0,1,2,7,1,0,0,0,0,1,0,1,185.42,193.04,170,25,0,0,0,1,2,0,2,2,7,0,0,0,0,2,0,0,2,185.42,185.42,185,35,0,0,0,0
2012-09-29,Duane Ludwig,Che Mills,0,2,0,2,4,14,0,0,1,2,1,0,0,4,177.8,177.8,170,34,0,0,0,1,1,0,1,1,3,0,0,0,0,1,0,0,1,185.42,193.04,170,30,0,0,0,0
2019-09-07,Davi Ramos,Islam Makhachev,0,0,4,4,1,11,0,0,0,1,0,3,0,4,167.64,177.8,155,32,0,0,0,1,0,5,5,1,13,0,0,0,3,1,2,0,6,177.8,177.8,155,27,0,0,0,0
2018-02-03,Polyana Viana,Maia Stevenson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,170.18,115,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,157.48,115,35,0,0,0,0
2020-11-14,Rhys McKee,Alex Morono,0,1,0,0,1,1,0,0,0,0,0,0,0,0,187.96,198.12,170,25,0,0,0,1,1,0,3,3,23,0,0,1,3,1,1,0,6,180.34,182.88,170,30,0,0,0,0
2017-01-28,Jeremy Kimball,Marcos Rogerio de Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,205,26,0,0,0,0,1,0,2,2,5,0,0,0,0,2,1,0,3,185.42,190.5,253,31,0,1,0,0
2010-05-08,Johny Hendricks,TJ Grant,1,0,2,2,0,4,0,0,0,1,1,0,0,2,175.26,175.26,185,26,0,0,0,0,0,1,1,1,7,0,0,1,0,1,0,0,2,177.8,182.88,155,26,1,0,0,0
2011-10-29,Danny Downes,Ramsey Nijem,0,1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,182.88,155,25,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,180.34,190.5,155,23,0,0,0,0
2013-10-09,Joey Beltran,Fabio Maldonado,0,4,0,2,6,24,0,0,0,1,2,0,0,3,185.42,190.5,185,31,0,0,0,1,0,1,1,3,14,0,0,0,1,1,0,0,2,185.42,190.5,205,33,0,0,0,0
2015-10-24,Jon Delos Reyes,Neil Seery,0,0,1,1,2,4,0,0,0,0,0,1,0,1,167.64,170.18,125,28,0,0,0,1,1,0,2,2,12,0,0,0,2,0,0,0,2,162.56,162.56,125,36,0,0,0,0
2017-07-16,Neil Seery,Alexandre Pantoja,0,1,0,2,3,17,0,0,0,2,0,1,0,3,162.56,162.56,125,37,0,0,0,1,0,1,1,0,3,0,0,1,0,0,0,0,1,165.1,170.18,125,27,0,0,0,0
2016-07-23,Kailin Curran,Felice Herrig,0,0,1,1,2,8,0,0,0,0,0,1,0,1,162.56,165.1,115,25,0,0,0,1,1,0,1,1,5,0,0,0,0,0,1,0,1,162.56,165.1,115,31,0,0,0,0
2016-02-27,Rustam Khabilov,Norman Parke,1,2,0,3,2,12,0,0,0,1,1,0,1,3,172.72,185.42,155,29,0,0,0,1,0,1,3,3,23,1,0,0,4,1,0,0,5,180.34,177.8,155,29,0,0,0,0
2016-11-19,Albert Morales,Thomas Almeida,0,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,182.88,135,25,0,0,0,1,1,0,4,1,8,0,0,0,1,3,0,0,4,170.18,177.8,135,25,0,0,0,0
2011-10-29,Jeff Curran,Scott Jorgensen,0,1,0,0,1,3,0,0,0,0,0,0,0,0,167.64,175.26,135,34,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,165.1,167.64,135,29,0,0,0,0
2015-11-14,Antonio Silva,Mark Hunt,0,0,1,2,5,15,1,0,0,0,3,0,0,3,193.04,203.2,264,36,0,0,0,1,2,0,4,5,27,1,0,0,1,4,0,0,5,177.8,182.88,265,41,0,0,0,0
2012-01-14,Michihiro Omigawa,Iuri Alcantara,0,0,1,1,4,15,0,0,0,1,0,0,0,1,167.64,172.72,145,36,0,0,0,1,0,1,1,0,3,0,0,0,1,0,0,0,1,175.26,180.34,135,31,0,0,0,0
2013-12-28,Michael Johnson,Gleison Tibau,1,0,1,3,4,22,1,0,0,3,2,0,0,5,177.8,185.42,145,27,0,0,0,0,0,2,3,7,50,0,0,3,5,1,4,0,13,177.8,180.34,155,30,1,0,0,0
2020-03-07,Deron Winn,Gerald Meerschaert,0,1,0,1,1,6,0,0,0,1,0,0,0,1,167.64,177.8,185,30,0,0,0,1,1,0,2,4,18,0,0,0,0,1,4,0,5,185.42,195.58,185,32,0,0,0,0
2015-04-25,David Michaud,Olivier Aubin-Mercier,0,0,1,1,1,6,0,0,0,1,0,0,0,1,175.26,182.88,155,26,0,0,0,1,0,1,1,1,5,1,0,0,0,0,1,0,1,175.26,177.8,155,26,0,0,0,0
2019-10-12,Alex Morono,Max Griffin,1,0,2,2,2,19,0,0,1,2,1,1,0,5,180.34,182.88,170,29,0,0,0,1,0,1,1,4,19,0,1,0,1,1,0,0,3,180.34,193.04,170,33,0,0,0,0
